start
6.5050	5.94	-0.0	4.93	0.00	0.00
7.5050	5.89	-0.1	4.82	0.00	4.16
8.5050	7.03	-0.1	4.69	0.00	4.16
9.5060	7.73	-0.1	4.33	0.00	3.88
10.5070	6.36	-0.1	3.90	0.00	3.88
11.5070	5.83	-0.1	4.14	0.00	0.00
12.5070	5.61	-0.1	3.59	0.00	0.00
13.5080	5.72	-0.1	2.54	0.00	0.00
14.5090	5.16	-0.1	2.29	0.00	0.00
15.5090	3.95	-0.1	2.76	0.00	0.00
16.5090	4.01	-0.1	2.55	0.00	0.00
17.5090	3.70	-0.1	2.77	0.00	0.00
18.5100	3.62	-0.1	3.27	0.00	0.00
19.5110	5.61	-0.1	4.88	0.00	0.00
20.5110	3.62	-0.1	6.12	0.00	0.00
21.5110	22.02	-0.1	6.12	0.00	5.12
22.5120	57.72	-0.1	7.29	0.00	5.47
23.5130	5.49	-0.1	8.01	21.88	6.37
24.5130	-3.78	-0.1	8.51	21.83	6.37
25.5130	17.73	-0.1	8.65	22.73	6.89
26.5140	19.22	-0.1	9.08	23.98	7.03
27.5140	-5.20	-0.1	9.24	24.33	7.30
28.5150	7.03	-0.1	9.67	25.25	7.51
29.5150	22.38	-0.1	9.84	25.71	7.72
30.5150	0.40	-0.1	10.08	26.81	7.85
31.5160	7.45	-0.1	10.64	27.78	8.12
32.5170	26.02	-0.1	11.16	28.49	8.80
33.5170	0.84	-0.1	11.13	28.57	8.74
34.5180	23.08	-0.1	11.42	29.41	8.99
35.5180	21.54	-0.1	12.16	30.40	9.27
36.5180	1.77	-0.1	12.91	31.45	9.70
37.5190	49.51	-0.1	13.11	33.33	10.06
38.5190	-1.20	-0.1	13.58	45.25	10.44
39.5200	11.07	-0.1	13.87	44.64	10.81
40.5200	-4.36	-0.1	13.90	45.25	10.66
41.5210	14.79	-0.1	13.93	42.37	10.70
42.5210	0.23	-0.1	13.68	41.67	10.70
43.5220	15.41	-0.1	12.35	40.16	9.75
44.5220	2.13	-0.1	8.48	0.00	6.89
45.5230	1.57	-0.1	4.13	0.00	6.89
46.5230	1.91	-0.1	18.31	0.00	0.00
47.5230	1.97	-0.1	41.49	0.00	0.00
48.5240	1.88	-0.1	41.49	0.00	0.00
49.5240	1.82	-0.0	41.43	0.00	0.00
50.5250	1.80	-0.1	41.43	0.00	0.00
51.5250	1.91	-0.1	41.43	0.00	0.00
52.5260	3.45	-0.0	41.43	23.87	0.00
53.5260	22.83	4.4	40.20	26.25	5.30
54.5280	1.66	7.8	37.80	26.25	7.48
55.5270	-2.57	-0.1	40.49	0.00	9.28
56.5270	13.33	-0.1	40.98	0.00	4.62
57.5280	-2.07	-0.1	41.16	0.00	4.62
58.5290	2.55	-0.1	41.24	23.20	4.22
59.5290	41.76	6.6	38.85	31.75	8.90
60.5290	59.04	-0.1	40.50	0.00	10.09
61.5300	21.40	-0.1	40.98	48.08	11.46
62.5300	16.36	7.0	38.81	59.52	13.63
63.5320	3.09	9.4	37.00	71.43	16.58
64.5310	9.25	3.7	38.81	78.74	18.25
65.5310	8.43	0.3	40.37	78.12	18.56
66.5320	4.68	0.2	40.68	84.03	18.43
67.5330	3.56	0.3	40.80	87.72	18.17
68.5330	11.40	0.2	40.85	75.76	17.79
69.5330	13.98	0.3	40.88	76.34	18.60
70.5340	11.37	0.7	40.80	78.74	18.25
71.5350	12.07	1.8	40.20	81.30	19.44
72.5360	13.92	1.7	40.10	81.30	19.39
